id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation
case_00010,What is music is a universal human phenomenon?,of relativity his famous,of relativity his famous,1,1.0,1,0.0505,0.0,1.0,0.0,1.0,0.0505,contradicted,1,0,"Answer ""of relativity his famous"" contradicts the evidence. The answer contains words (relativity, his, famous) that do not appear in the evidence at all. Evidence says: ""music is a universal human phenomenon found in every known culture. it involves organized sound and silence over time. different cultures use different scales and instruments. streaming has completely transformed the music industry. algorithms now determine what most people listen to raising questions about taste and diversity."""
case_00011,What is einstein was a theoretical physicist who?,a theoretical physicist,a theoretical physicist,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0519,coherent,0,1,"Answer ""a theoretical physicist"" is consistent with the evidence."
case_00012,What is serena williams is one of the?,of the greatest tennis players,of the greatest tennis players,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0484,coherent,0,1,"Answer ""of the greatest tennis players"" is consistent with the evidence."
case_00013,What is the French Revolution began in 1789?,storming of the,storming of the,1,1.0,1,0.0527,0.0,1.0,0.0,1.0,0.0527,contradicted,1,0,"Answer ""storming of the"" contradicts the evidence. The answer contains words (storming) that do not appear in the evidence at all. Evidence says: ""What is the French Revolution began in 1789?"""
case_00014,What is usain bolt is the fastest human?,particles depending on,the 100m 200m and 4x100m,0,0.0,1,0.0452,0.0,1.0,0.0,1.0,0.0452,contradicted,1,1,"Answer ""particles depending on"" contradicts the evidence. The answer contains words (particles, depending) that do not appear in the evidence at all. Evidence says: ""usain bolt is the fastest human ever timed. he holds world records in the 100m 200m and 4x100m relay. from jamaica he won 8 olympic gold medals. his signature celebration is the lightning bolt pose. he retired in 2017 and tried football unsuccessfully."""
case_00015,What is most startups fail within the first?,iteration and validated,iteration and validated,1,1.0,1,0.0553,0.0,1.0,0.0,1.0,0.0553,contradicted,1,0,"Answer ""iteration and validated"" contradicts the evidence. The answer contains words (iteration, validated) that do not appear in the evidence at all. Evidence says: ""What is most startups fail within the first?"""
case_00016,What is coffee is one of the most?,continent it contains 90 percent,continent it contains 90 percent,1,1.0,1,0.0491,0.0,1.0,0.0,1.0,0.0491,contradicted,1,0,"Answer ""continent it contains 90 percent"" contradicts the evidence. The answer contains words (continent, it, contains, percent) that do not appear in the evidence at all. Evidence says: ""coffee is one of the most consumed drinks worldwide. its made from roasted coffee beans which are actually the seeds of coffee cherries. brazil is the largest producer. caffeine blocks adenosine receptors making you feel alert. too much coffee makes me jittery personally."""
case_00017,What is serena williams is one of the?,in the,in the,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0462,coherent,0,1,"Answer ""in the"" is consistent with the evidence."
case_00018,What is michael jordan is widely considered the?,and owned the,and owned the,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0478,coherent,0,1,"Answer ""and owned the"" is consistent with the evidence."
case_00019,What is the cold war was a period?,1989 symbolizing,1989 symbolizing,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0505,coherent,0,1,"Answer ""1989 symbolizing"" is consistent with the evidence."
case_00020,What is cnns dominated computer vision for years?,the coldest,for years with their,0,0.0,1,0.0493,0.0,1.0,0.0,1.0,0.0493,contradicted,1,1,"Answer ""the coldest"" contradicts the evidence. The answer contains words (coldest) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization."""
case_00021,What is neural networks are computing systems vaguely?,she was in a terrible,weight that adjusts,0,0.0,1,0.0469,0.0,1.0,0.0,1.0,0.0469,contradicted,1,1,"Answer ""she was in a terrible"" contradicts the evidence. The answer contains words (she, terrible) that do not appear in the evidence at all. Evidence says: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning mea"""
case_00022,What is DNA has a double helix structure?,xray crystallography data from Rosalind,xray crystallography data from Rosalind,1,1.0,1,0.0452,0.0,1.0,1.0,1.0,0.0452,contradicted,1,0,"Answer ""xray crystallography data from Rosalind"" contradicts the evidence. The answer contains words (xray, crystallography, data, rosalind) that do not appear in the evidence at all; Key names or terms (rosalind) found in the answer are missing from the evidence. Evidence says: ""What is DNA has a double helix structure?"""
case_00023,What is evolution by natural selection was proposed?,torvalds in 1991 it powers,by charles,0,0.0,1,0.0482,0.0,1.0,0.0,1.0,0.0482,contradicted,1,1,"Answer ""torvalds in 1991 it powers"" contradicts the evidence. The answer contains words (torvalds, it, powers) that do not appear in the evidence at all. Evidence says: ""evolution by natural selection was proposed by charles darwin in on the origin of species 1859. individuals with advantageous traits survive and reproduce more. over millions of years this drives adaptation and speciation. its often mischaracterized as survival of the fittest which is circular."""
case_00024,What is cats and dogs are the two?,users its basically a series,are the two most popular,0,0.0,1,0.0465,0.0,1.0,0.0,1.0,0.0465,contradicted,1,1,"Answer ""users its basically a series"" contradicts the evidence. The answer contains words (users, its, basically, series) that do not appear in the evidence at all. Evidence says: ""cats and dogs are the two most popular pets in the world. dogs were domesticated about 15000 years ago while cats domesticated themselves about 10000 years ago. the internets favorite debate. dogs are pack animals cats are solitary. both are fine honestly depends on your lifestyle."""
case_00025,What is frida kahlo was a mexican painter?,temperature has,a teenager that left her,0,0.0,1,0.0521,0.0,1.0,0.0,1.0,0.0521,contradicted,1,1,"Answer ""temperature has"" contradicts the evidence. The answer contains words (temperature) that do not appear in the evidence at all. Evidence says: ""frida kahlo was a mexican painter known for her self-portraits and surrealist style. she was in a terrible bus accident as a teenager that left her in pain her whole life. she married diego rivera twice. her work explores identity pai"""
case_00026,What is Photosynthesis is how plants convert sunlight?,unknown,unknown,1,1.0,1,0.0499,0.0,1.0,0.0,1.0,0.0499,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is Photosynthesis is how plants convert sunlight?"""
case_00027,What is neural networks are computing systems vaguely?,biological brains they consist of,biological brains they consist of,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0464,coherent,0,1,"Answer ""biological brains they consist of"" is consistent with the evidence."
case_00028,What is antarctica is the coldest driest and?,its peak stretched,its peak stretched,1,1.0,1,0.0763,0.0,0.6667,0.0,0.6667,0.0509,contradicted,1,0,"Answer ""its peak stretched"" contradicts the evidence. The answer contains words (peak, stretched) that do not appear in the evidence at all. Evidence says: ""antarctica is the coldest driest and windiest continent. it contains 90 percent of the worlds ice and 70 percent of its fresh water. no humans live there permanently only scientists on research stations. the antarctic treaty preserves it for peaceful scientific research. its getting warmer though."""
case_00029,What is pizza originated in naples italy as?,7-9 hours,7-9 hours,1,1.0,1,0.0515,0.0,1.0,0.0,1.0,0.0515,contradicted,1,0,"Answer ""7-9 hours"" contradicts the evidence. The answer contains words (hours) that do not appear in the evidence at all. Evidence says: ""pizza originated in naples italy as a dish for poor people. the margherita pizza was created in 1889 to honor queen margherita with tomatoes mozzarella and basil representing the italian flag. its now a global phenomenon with endless variations. pineapple on pizza is controversal but honestly its fine."""
case_00030,What is frida kahlo was a mexican painter?,in pain her,in pain her,1,1.0,1,0.0506,0.0,1.0,0.0,1.0,0.0506,contradicted,1,0,"Answer ""in pain her"" contradicts the evidence. The answer contains words (pain, her) that do not appear in the evidence at all. Evidence says: ""What is frida kahlo was a mexican painter?"""
case_00031,What is einstein was a theoretical physicist who?,largest country in south america,nobel prize for,0,0.0,1,0.0495,0.0,1.0,0.0,1.0,0.0495,contradicted,1,1,"Answer ""largest country in south america"" contradicts the evidence. The answer contains words (largest, country, south, america) that do not appear in the evidence at all. Evidence says: ""einstein was a theoretical physicist who developed the theory of relativity. his famous equation E=mc^2 shows mass and energy are equivalent. he won the nobel prize for the photoelectric effect not relativity. he was a pacifist and jewish refugee who fled nazi germany to the US."""
case_00032,What is quantum mechanics describes nature at the?,particles depending on how you,particles depending on how you,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.049,coherent,0,1,"Answer ""particles depending on how you"" is consistent with the evidence."
case_00033,What is adults need 7-9 hours of sleep?,when the brain clears,when the brain clears,1,1.0,1,0.0449,0.0,1.0,0.0,1.0,0.0449,contradicted,1,0,"Answer ""when the brain clears"" contradicts the evidence. The answer contains words (brain, clears) that do not appear in the evidence at all. Evidence says: ""What is adults need 7-9 hours of sleep?"""
case_00034,What is alan turing was a mathematician and?,punishments in an environment its,he cracked the,0,0.0,1,0.0508,0.0,1.0,0.0,1.0,0.0508,contradicted,1,1,"Answer ""punishments in an environment its"" contradicts the evidence. The answer contains words (punishments, environment, its) that do not appear in the evidence at all. Evidence says: ""alan turing was a mathematician and computer scientist. he formalized the concept of computation with the turing machine. he cracked the enigma code during ww2 which historians say shortened the war by years. he was prosecuted for homosexuality and chemicall"""
case_00035,What is michael jordan is widely considered the?,also tried,also tried,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0484,coherent,0,1,"Answer ""also tried"" is consistent with the evidence."
case_00036,What is the internet started as ARPANET a?,as ARPANET a US,as ARPANET a US,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0488,coherent,0,1,"Answer ""as ARPANET a US"" is consistent with the evidence."
case_00037,What is the roman empire at its peak?,civilization the fall was caused,civilization the fall was caused,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0487,coherent,0,1,"Answer ""civilization the fall was caused"" is consistent with the evidence."
case_00038,What is brazil is the largest country in?,its carnival,its carnival,1,1.0,1,0.0505,0.0,1.0,0.0,1.0,0.0505,contradicted,1,0,"Answer ""its carnival"" contradicts the evidence. The answer contains words (its, carnival) that do not appear in the evidence at all. Evidence says: ""What is brazil is the largest country in?"""
case_00039,What is cryptography is the practice of secure?,of secure communication,of secure communication,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0482,coherent,0,1,"Answer ""of secure communication"" is consistent with the evidence."
case_00040,What is the moon is earths only natural?,instruments streaming has,theres overwhelming,0,0.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,1,"Answer ""instruments streaming has"" contradicts the evidence. The answer contains words (instruments, streaming) that do not appear in the evidence at all. Evidence says: ""the moon is earths only natural satellite. its about 384400 km away and 1/4 the size of earth. the moon landing in 1969 is one of humanitys greatest achievements. conspiracy theorists think it was faked but theres overwhelming evidence we went. the moon is slowly drifting away."""
case_00041,What is gradient descent is the workhorse optimization?,take steps,take steps,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0514,coherent,0,1,"Answer ""take steps"" is consistent with the evidence."
case_00042,What is blockchain is a distributed ledger technology?,hash of the previous,hash of the previous,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0456,coherent,0,1,"Answer ""hash of the previous"" is consistent with the evidence."
case_00043,What is cooking is both an art and?,and flavor development when,and flavor development when,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0509,coherent,0,1,"Answer ""and flavor development when"" is consistent with the evidence."
case_00044,What is adults need 7-9 hours of sleep?,internets servers android phones and,internets servers android phones and,1,1.0,1,0.0466,0.0,1.0,0.0,1.0,0.0466,contradicted,1,0,"Answer ""internets servers android phones and"" contradicts the evidence. The answer contains words (internets, servers, android, phones) that do not appear in the evidence at all. Evidence says: ""adults need 7-9 hours of sleep per night for optimal health. sleep is when the brain clears waste products and consolidates memories. chronic sleep deprivation is linked to obesity heart disease and depression. screens before bed suppress melatonin production. idont get nearly enough sleep these days."""
case_00045,What is the industrial revolution started in britain?,terrible at,terrible at,1,1.0,1,0.057,0.0,1.0,0.0,1.0,0.057,contradicted,1,0,"Answer ""terrible at"" contradicts the evidence. The answer contains words (terrible) that do not appear in the evidence at all. Evidence says: ""What is the industrial revolution started in britain?"""
case_00046,What is the earths average temperature has risen?,in 1789,more extreme weather,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0496,coherent,0,1,"Answer ""in 1789"" is consistent with the evidence."
case_00047,What is evolution by natural selection was proposed?,uses indentation for,uses indentation for,1,1.0,1,0.0452,0.0,1.0,0.0,1.0,0.0452,contradicted,1,0,"Answer ""uses indentation for"" contradicts the evidence. The answer contains words (uses, indentation) that do not appear in the evidence at all. Evidence says: ""evolution by natural selection was proposed by charles darwin in on the origin of species 1859. individuals with advantageous traits survive and reproduce more. over millions of years this drives adaptation and speciation. its often mischaracterized as survival of the fittest"""
case_00048,What is marie curie was a physicist and?,and energy,and energy,1,1.0,1,0.051,0.0,1.0,0.0,1.0,0.051,contradicted,1,0,"Answer ""and energy"" contradicts the evidence. The answer contains words (energy) that do not appear in the evidence at all. Evidence says: ""marie curie was a physicist and chemist who pioneered research on radioactivity. she discovered polonium and radium. she won nobel prizes in both physics and chemistry the first person to do so. she died of aplastic anemia from radiation exposure. her notebooks are still radioactive."""
case_00049,What is linux is a free open source?,vaswani et al revolutionized,vaswani et al revolutionized,1,1.0,1,0.0542,0.0,1.0,0.0,1.0,0.0542,contradicted,1,0,"Answer ""vaswani et al revolutionized"" contradicts the evidence. The answer contains words (vaswani, et, al, revolutionized) that do not appear in the evidence at all. Evidence says: ""linux is a free open source operating system kernel created by linus torvalds in 1991. it powers most of the internets servers android phones and supercomputers. theres a distribution for every use case ubuntu for beginners arch for tinkerers. the command line is powerful but has a steep learning curve."""
case_00050,What is the Earths lithosphere is divided into?,centimeters per year,centimeters per year,1,1.0,1,0.0496,0.0,1.0,0.0,1.0,0.0496,contradicted,1,0,"Answer ""centimeters per year"" contradicts the evidence. The answer contains words (centimeters, per, year) that do not appear in the evidence at all. Evidence says: ""What is the Earths lithosphere is divided into?"""
case_00051,What is alan turing was a mathematician and?,to discover better,to discover better,1,1.0,1,0.045,0.0,1.0,0.0,1.0,0.045,contradicted,1,0,"Answer ""to discover better"" contradicts the evidence. The answer contains words (discover, better) that do not appear in the evidence at all. Evidence says: ""alan turing was a mathematician and computer scientist. he formalized the concept of computation with the turing machine. he cracked the enigma code during ww2 which historians say shortened the war by years. he was prosecuted for homosexuality and chemically castrated. he died of cyanide poisoning."""
case_00052,What is DNA has a double helix structure?,T C G A,T C G A,1,1.0,1,0.0472,0.0,1.0,0.0,1.0,0.0472,contradicted,1,0,"Answer ""T C G A"" contradicts the evidence. The answer contains words (t, c, g) that do not appear in the evidence at all. Evidence says: ""What is DNA has a double helix structure?"""
case_00053,What is the transformer architecture introduced in 2017?,unknown,unknown,1,1.0,1,0.0522,0.0,1.0,0.0,1.0,0.0522,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is the transformer architecture introduced in 2017?"""
case_00054,What is da vinci was a renaissance polymath?,einstein was,and scientist hes most,0,0.0,1,0.0508,0.0,1.0,0.0,1.0,0.0508,contradicted,1,1,"Answer ""einstein was"" contradicts the evidence. The answer contains words (einstein) that do not appear in the evidence at all. Evidence says: ""da vinci was a renaissance polymath artist inventor and scientist. hes most famous for painting the mona lisa and the last supper. he filled notebooks with anatomical drawings flying machines and observations. he wrote in mirror script. only about 15 of his paintings survive."""
case_00055,What is japan is an island nation in?,her sister venus,country experiences frequent earthquakes including,0,0.0,1,0.0465,0.0,1.0,0.0,1.0,0.0465,contradicted,1,1,"Answer ""her sister venus"" contradicts the evidence. The answer contains words (her, sister, venus) that do not appear in the evidence at all. Evidence says: ""japan is an island nation in east asia with a population of 125 million. its known for its blend of ancient traditions and cutting-edge technology. tokyo is the largest metropolitan area in the world. the country experiences frequent earthquakes including the 2011 disaster that caused a nuclear meltdown at Fukushima."""
case_00056,What is databases store organized data.?,and access,and access,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0517,coherent,0,1,"Answer ""and access"" is consistent with the evidence."
case_00057,What is ww2 lasted from 1939 to 1945?,nations was established afterward,nations was established afterward,1,1.0,1,0.0483,0.0,1.0,0.0,1.0,0.0483,contradicted,1,0,"Answer ""nations was established afterward"" contradicts the evidence. The answer contains words (nations, established, afterward) that do not appear in the evidence at all. Evidence says: ""What is ww2 lasted from 1939 to 1945?"""
case_00058,What is rl is about an agent learning?,computer vision for,learn to walk the,0,0.0,1,0.0454,0.0,1.0,0.0,1.0,0.0454,contradicted,1,1,"Answer ""computer vision for"" contradicts the evidence. The answer contains words (computer, vision) that do not appear in the evidence at all. Evidence says: ""rl is about an agent learning from rewards and punishments in an environment. its how alphago beat the world champion and how robots learn to walk. the exploration vs exploitation tradeoff is central. sometimes you have to try random things to discover better strategies."""
case_00059,What is python and javascript are two of?,python uses,python uses,1,1.0,1,0.1022,0.0,0.5,0.0,0.5,0.0511,weak,0,0,"Answer ""python uses"" contradicts the evidence. The answer contains words (uses) that do not appear in the evidence at all. Evidence says: ""What is python and javascript are two of?"""
case_00060,What is gradient descent is the workhorse optimization?,is usually a,is usually a,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0481,coherent,0,1,"Answer ""is usually a"" is consistent with the evidence."
case_00061,What is the Earths lithosphere is divided into?,year driven by mantle convection,year driven by mantle convection,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0523,coherent,0,1,"Answer ""year driven by mantle convection"" is consistent with the evidence."
case_00062,What is music is a universal human phenomenon?,won 6 NBA,is a universal human phenomenon,0,0.0,1,0.049,0.0,1.0,1.0,1.0,0.049,contradicted,1,1,"Answer ""won 6 NBA"" contradicts the evidence. The answer contains words (won, nba) that do not appear in the evidence at all; Key names or terms (nba) found in the answer are missing from the evidence. Evidence says: ""music is a universal human phenomenon found in every known culture. it involves organized sound and silence over time. different cultures use different scales and instruments. streaming has completely transformed the music industry. algorithms now determine what most people listen to raising questions about taste and diversity."""
case_00063,What is einstein was a theoretical physicist who?,equation Emc2 shows mass,equation Emc2 shows mass,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0517,coherent,0,1,"Answer ""equation Emc2 shows mass"" is consistent with the evidence."
case_00064,What is serena williams is one of the?,singles titles the,singles titles the,1,1.0,1,0.0497,0.0,1.0,0.0,1.0,0.0497,contradicted,1,0,"Answer ""singles titles the"" contradicts the evidence. The answer contains words (singles, titles) that do not appear in the evidence at all. Evidence says: ""What is serena williams is one of the?"""
case_00065,What is the French Revolution began in 1789?,reign of,reign of,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0485,coherent,0,1,"Answer ""reign of"" is consistent with the evidence."
case_00066,What is usain bolt is the fastest human?,in the 100m,in the 100m,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0515,coherent,0,0,"Answer ""in the 100m"" is consistent with the evidence."
case_00067,What is most startups fail within the first?,unknown,unknown,1,1.0,1,0.0555,0.0,1.0,0.0,1.0,0.0555,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is most startups fail within the first?"""
case_00068,What is coffee is one of the most?,depends on,depends on,1,1.0,1,0.0473,0.0,1.0,0.0,1.0,0.0473,contradicted,1,0,"Answer ""depends on"" contradicts the evidence. The answer contains words (depends) that do not appear in the evidence at all. Evidence says: ""coffee is one of the most consumed drinks worldwide. its made from roasted coffee beans which are actually the seeds of coffee cherries. brazil is the largest producer. caffeine blocks adenosine receptors making you feel alert. too much coffee makes me jittery personally."""
case_00069,What is serena williams is one of the?,singles titles the most,singles titles the most,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0484,coherent,0,1,"Answer ""singles titles the most"" is consistent with the evidence."
case_00070,What is michael jordan is widely considered the?,his airness was known,his airness was known,1,1.0,1,0.0468,0.0,1.0,0.0,1.0,0.0468,contradicted,1,0,"Answer ""his airness was known"" contradicts the evidence. The answer contains words (his, airness, known) that do not appear in the evidence at all. Evidence says: ""What is michael jordan is widely considered the?"""
case_00071,What is the cold war was a period?,mechanics describes nature at,1947 to,0,0.0,1,0.0503,0.0,1.0,0.0,1.0,0.0503,contradicted,1,1,"Answer ""mechanics describes nature at"" contradicts the evidence. The answer contains words (mechanics, describes, nature) that do not appear in the evidence at all. Evidence says: ""the cold war was a period of geopolitical tension between the US and Soviet Union from 1947 to 1991. they never fought directly but proxy wars happened in korea vietnam afghanistan. the space race and arms race were major features. the Berlin Wall fell in 1989 symbolizing the end."""
case_00072,What is cnns dominated computer vision for years?,computer vision for years,computer vision for years,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0476,coherent,0,1,"Answer ""computer vision for years"" is consistent with the evidence."
case_00073,What is neural networks are computing systems vaguely?,consist of layers of interconnected,consist of layers of interconnected,1,0.8,1,1.0,0.0,0.0,0.0,0.0,0.0506,coherent,0,1,"Answer ""consist of layers of interconnected"" is consistent with the evidence."
case_00074,What is DNA has a double helix structure?,and consolidates memories chronic sleep,made of,0,0.0,1,0.0491,0.0,1.0,0.0,1.0,0.0491,contradicted,1,1,"Answer ""and consolidates memories chronic sleep"" contradicts the evidence. The answer contains words (consolidates, memories, chronic, sleep) that do not appear in the evidence at all. Evidence says: ""DNA has a double helix structure discovered by watson and crick in 1953 based on xray crystallography data from Rosalind Franklin. the strands are made of nucleotides A T C G. A pairs with T and C pairs with G. human DNA has about 3 billion base pairs."""
case_00075,What is evolution by natural selection was proposed?,unknown,unknown,1,1.0,1,0.0469,0.0,1.0,0.0,1.0,0.0469,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is evolution by natural selection was proposed?"""
case_00076,What is cats and dogs are the two?,cats and dogs are the,cats and dogs are the,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0495,coherent,0,1,"Answer ""cats and dogs are the"" is consistent with the evidence."
case_00077,What is frida kahlo was a mexican painter?,during ww2 which,mexican painter known for her,0,0.0,1,0.0518,0.0,1.0,0.0,1.0,0.0518,contradicted,1,1,"Answer ""during ww2 which"" contradicts the evidence. The answer contains words (which) that do not appear in the evidence at all. Evidence says: ""frida kahlo was a mexican painter known for her self-portraits and surrealist style. she was in a terrible bus accident as a teenager that left her in pain her whole life. she married diego rivera twice. her work explores identity pai"""
case_00078,What is Photosynthesis is how plants convert sunlight?,chemical energy it happens,chemical energy it happens,1,1.0,1,0.0482,0.0,1.0,0.0,1.0,0.0482,contradicted,1,0,"Answer ""chemical energy it happens"" contradicts the evidence. The answer contains words (chemical, energy, it, happens) that do not appear in the evidence at all. Evidence says: ""What is Photosynthesis is how plants convert sunlight?"""
case_00079,What is neural networks are computing systems vaguely?,decline military overspending and,connection has a weight that,0,0.0,1,0.0481,0.0,1.0,0.0,1.0,0.0481,contradicted,1,1,"Answer ""decline military overspending and"" contradicts the evidence. The answer contains words (decline, military, overspending) that do not appear in the evidence at all. Evidence says: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning means having many layers. its not actually like a brain at all despite the name."""
case_00080,What is antarctica is the coldest driest and?,rio de Janeiro,rio de Janeiro,1,1.0,1,0.0515,0.0,1.0,1.0,1.0,0.0515,contradicted,1,0,"Answer ""rio de Janeiro"" contradicts the evidence. The answer contains words (rio, de, janeiro) that do not appear in the evidence at all; Key names or terms (janeiro) found in the answer are missing from the evidence. Evidence says: ""antarctica is the coldest driest and windiest continent. it contains 90 percent of the worlds ice and 70 percent of its fresh water. no humans live there permanently only scientists on research stations. the antarctic treaty preserves it for peaceful scientific research. its getting warmer though."""
case_00081,What is pizza originated in naples italy as?,havent found productmarket,and basil representing the,0,0.0,1,0.0508,0.0,1.0,0.0,1.0,0.0508,contradicted,1,1,"Answer ""havent found productmarket"" contradicts the evidence. The answer contains words (havent, found, productmarket) that do not appear in the evidence at all. Evidence says: ""pizza originated in naples italy as a dish for poor people. the margherita pizza was created in 1889 to honor queen margherita with tomatoes mozzarella and basil representing the italian flag. its now a global phenomenon with endless variations. pineapple on pizza is controversal but honestly its fine."""
