id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu_before,mu_after,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation,fix_type,fix_query,rag_improved
case_00075,What is evolution by natural selection was proposed?,unknown,unknown,1,1.0,1,0.0469,0.0469,0.0061,1.0,0.0,1.0,0.0469,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is evolution by natural selection was proposed?""",lexical,unknown,0
case_00076,What is cats and dogs are the two?,cats and dogs are the,cats and dogs are the,1,1.0,1,1.0,1.0,0.0006,0.0,0.0,0.0006,0.0495,coherent,0,1,"Answer ""cats and dogs are the"" is consistent with the evidence.",none,,0
case_00077,What is frida kahlo was a mexican painter?,during ww2 which,mexican painter known for her,0,0.0,1,0.0518,1.0,0.0016,0.0,0.0,0.0016,0.0518,coherent,0,1,"Answer ""during ww2 which"" is consistent with the evidence.",lexical,which,1
case_00078,What is Photosynthesis is how plants convert sunlight?,chemical energy it happens,chemical energy it happens,1,1.0,1,0.0482,1.0,0.0092,0.0,0.0,0.0092,0.0482,coherent,0,0,"Answer ""chemical energy it happens"" is consistent with the evidence.",lexical,chemical energy it happens,1
case_00079,What is neural networks are computing systems vaguely?,decline military overspending and,connection has a weight that,0,0.0,1,0.0481,0.7556,0.0654,0.0,0.0,0.0654,0.0481,coherent,0,1,"Answer ""decline military overspending and"" is consistent with the evidence.",lexical,decline military overspending,1
case_00080,What is antarctica is the coldest driest and?,rio de Janeiro,rio de Janeiro,1,1.0,1,0.0515,1.0,0.004,0.0,0.0,0.004,0.0515,coherent,0,0,"Answer ""rio de Janeiro"" is consistent with the evidence.",entity,rio de janeiro janeiro,1
case_00081,What is pizza originated in naples italy as?,havent found productmarket,and basil representing the,0,0.0,1,0.0508,1.0,0.0019,0.0,0.0,0.0019,0.0508,coherent,0,1,"Answer ""havent found productmarket"" is consistent with the evidence.",lexical,havent found productmarket,1
case_00082,What is frida kahlo was a mexican painter?,energy are equivalent he,pain her whole,0,0.0,1,0.0522,1.0,0.0018,0.0,0.0,0.0018,0.0522,coherent,0,1,"Answer ""energy are equivalent he"" is consistent with the evidence.",lexical,energy equivalent he,1
case_00083,What is einstein was a theoretical physicist who?,the war by years,photoelectric effect not relativity he,0,0.0,1,0.0513,0.0513,0.9993,1.0,0.0,1.0,0.0513,contradicted,1,1,"Answer ""the war by years"" contradicts the evidence. The NLI model finds that 'the war by years' semantically contradicts the evidence (NLI score: 1.00); The answer contains words (war, years) that do not appear in the evidence at all. Evidence says: ""einstein was a theoretical physicist who developed the theory of relativity. his famous equation E=mc^2 shows mass and energy are equivalent. he won the nobel prize for the photoelectric effect not relativity. he was a pacifist and jewish refugee who fled nazi germany to the US.""",nli,war years What is einstein was a theoretical physicist who? the war by years,0
case_00084,What is quantum mechanics describes nature at the?,by linus torvalds in 1991,on how,0,0.0,1,0.0499,0.0499,0.956,1.0,0.0,1.0,0.0499,contradicted,1,1,"Answer ""by linus torvalds in 1991"" contradicts the evidence. The NLI model finds that 'by linus torvalds in 1991' semantically contradicts the evidence (NLI score: 0.96); The answer contains words (linus, torvalds) that do not appear in the evidence at all. Evidence says: ""quantum mechanics describes nature at the atomic and subatomic scale. particles behave as both waves and particles depending on how you measure them. the schrodinger equation describes how quantum states evolve. observation collapses the wavefunction. nobody really understands it says feynman.""",nli,linus torvalds What is quantum mechanics describes nature at the? by linus torvalds in 1991,0
case_00085,What is adults need 7-9 hours of sleep?,polymath artist inventor and,memories chronic sleep,0,0.0,1,0.0429,1.0,0.0011,0.0,0.0,0.0011,0.0429,coherent,0,1,"Answer ""polymath artist inventor and"" is consistent with the evidence.",lexical,polymath artist inventor,1
case_00086,What is alan turing was a mathematician and?,descent is,descent is,1,1.0,1,0.0495,1.0,0.0242,0.0,0.0,0.0242,0.0495,coherent,0,0,"Answer ""descent is"" is consistent with the evidence.",lexical,descent,1
case_00087,What is michael jordan is widely considered the?,considered the greatest basketball player,considered the greatest basketball player,1,1.0,1,1.0,1.0,0.0015,0.0,0.0,0.0015,0.0461,coherent,0,1,"Answer ""considered the greatest basketball player"" is consistent with the evidence.",none,,0
case_00088,What is the internet started as ARPANET a?,the war ended,billion users its basically a,0,0.0,1,0.046,1.0,0.0339,0.0,0.0,0.0339,0.046,coherent,0,1,"Answer ""the war ended"" is consistent with the evidence.",lexical,war ended,1
case_00089,What is the roman empire at its peak?,stretched from,stretched from,1,1.0,1,1.0,1.0,0.0005,0.0,0.0,0.0005,0.0479,coherent,0,1,"Answer ""stretched from"" is consistent with the evidence.",none,,0
case_00090,What is brazil is the largest country in?,warming to 15C,largest country in south america,0,0.0,1,0.0521,1.0,0.0016,0.0,0.0,0.0016,0.0521,coherent,0,1,"Answer ""warming to 15C"" is consistent with the evidence.",lexical,warming,1
case_00091,What is cryptography is the practice of secure?,the maillard reaction is responsible,still considered secure for symmetric,0,0.0,1,0.0496,1.0,0.0028,0.0,0.0,0.0028,0.0496,coherent,0,1,"Answer ""the maillard reaction is responsible"" is consistent with the evidence.",lexical,maillard reaction responsible,1
case_00092,What is the moon is earths only natural?,vs exploitation tradeoff is,but theres overwhelming evidence we,0,0.0,1,0.0484,1.0,0.0145,0.0,0.0,0.0145,0.0484,coherent,0,1,"Answer ""vs exploitation tradeoff is"" is consistent with the evidence.",lexical,vs exploitation tradeoff,1
case_00093,What is gradient descent is the workhorse optimization?,individuals with advantageous traits survive,individuals with advantageous traits survive,1,1.0,1,0.0482,1.0,0.0014,0.0,0.0,0.0014,0.0482,coherent,0,0,"Answer ""individuals with advantageous traits survive"" is consistent with the evidence.",lexical,individuals advantageous traits survive,1
case_00094,What is blockchain is a distributed ledger technology?,mass and energy are,cryptographic hash of the previous,0,0.0,1,0.0471,1.0,0.0019,0.0,0.0,0.0019,0.0471,coherent,0,1,"Answer ""mass and energy are"" is consistent with the evidence.",lexical,mass energy,1
case_00095,What is cooking is both an art and?,is that humans,is that humans,1,1.0,1,0.0464,1.0,0.0051,0.0,0.0,0.0051,0.0464,coherent,0,0,"Answer ""is that humans"" is consistent with the evidence.",lexical,that humans,1
case_00096,What is adults need 7-9 hours of sleep?,species 1859 individuals,species 1859 individuals,1,1.0,1,0.0471,1.0,0.0006,0.0,0.0,0.0006,0.0471,coherent,0,0,"Answer ""species 1859 individuals"" is consistent with the evidence.",lexical,species individuals,1
case_00097,What is the industrial revolution started in britain?,volcanoes mostly,volcanoes mostly,1,1.0,1,0.0539,1.0,0.0006,0.0,0.0,0.0006,0.0539,coherent,0,0,"Answer ""volcanoes mostly"" is consistent with the evidence.",lexical,volcanoes mostly,1
case_00098,What is the earths average temperature has risen?,tectonic plates,tectonic plates,1,1.0,1,0.0539,1.0,0.0016,0.0,0.0,0.0016,0.0539,coherent,0,0,"Answer ""tectonic plates"" is consistent with the evidence.",lexical,tectonic plates,1
case_00099,What is evolution by natural selection was proposed?,unknown,unknown,1,1.0,1,0.0469,0.0469,0.0061,1.0,0.0,1.0,0.0469,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is evolution by natural selection was proposed?""",lexical,unknown,0
case_00100,What is marie curie was a physicist and?,race were,do so she died of,0,0.0,1,0.0506,1.0,0.0014,0.0,0.0,0.0014,0.0506,coherent,0,1,"Answer ""race were"" is consistent with the evidence.",lexical,race,1
case_00101,What is linux is a free open source?,the internets servers android,the internets servers android,1,1.0,1,1.0,1.0,0.0004,0.0,0.0,0.0004,0.0517,coherent,0,1,"Answer ""the internets servers android"" is consistent with the evidence.",none,,0
case_00102,What is the Earths lithosphere is divided into?,and they dominated,centimeters per year,0,0.0,1,0.0958,1.0,0.0006,0.0,0.0,0.0006,0.0479,coherent,0,1,"Answer ""and they dominated"" is consistent with the evidence.",lexical,they dominated,1
case_00103,What is alan turing was a mathematician and?,the strands are made,the strands are made,1,1.0,1,0.0464,0.6747,0.0714,0.0,0.0,0.0714,0.0464,coherent,0,0,"Answer ""the strands are made"" is consistent with the evidence.",lexical,strands made,1
